Additive or Multiplicative attributes?,Multiplicative,,,,,,,,,,,,,,,,,,,,,,,,,,
Low and high percentile cut-offs for attribute scoring,1.0/3.0,2.0/3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Number of attributes,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Low and high thresholds,1.0/3.0,1.0/3.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fishery,Stock,Management Strategy,Areal Overlap,Geographic Concentration,Vertical Overlap,Fishing rate relative to M,Biomass of Spawners,Seasonal Migrations,Schooling-Aggregation,Morphology Affecting Capture,Post Release Mortality,Value of the Fishery,Fishery Impact to EFH,,,Management Strategy weights,Areal Overlap weights,Geographic Concentration weights,Vertical Overlap weights,Fishing rate relative to M weights,Biomass of Spawners weights,Seasonal Migrations weights,Schooling-Aggregation weights,Morphology Affecting Capture weights,Post Release Mortality weights,Value of the Fishery weights,Fishery Impact to EFH weights
,Shortfin mako,2,2,1,3,2,2,,,3,3,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Blue shark,2,2,1,3,1,1,2,,3,1,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Common thresher,2,3,1,3,,,,,3,2,1,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Porbeagle,2,2,2,3,1,3,,,3,1,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Oceanic whitetip,2,2,1,3,,,,,3,2,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Bigeye thresher,1,3,2,3,,,,,3,2,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Longfin mako,1,3,1,3,,,,,3,2,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Sixgill shark,1,3,1,1,,,,,1,1,1,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Sharpnose sevengill shark,1,3,1,1,,,,,1,,1,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Sandbar shark,1,3,1,3,2,2,3,,3,3,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Blacktip shark,2,3,1,3,2,1,3,,3,3,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Spinner shark,2,3,1,3,,,,,3,3,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Silky shark,2,3,3,3,,,,,3,3,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
